pgm,openMP,optimization,time
cat,FALSE,"""-O""",78679
cat,FALSE,"""-O""",46158
cat,FALSE,"""-O""",44439
cat,FALSE,"""-O""",47271
cat,FALSE,"""-O""",45881
cat,FALSE,"""-O1""",82265
cat,FALSE,"""-O1""",70107
cat,FALSE,"""-O1""",13822
cat,FALSE,"""-O1""",71181
cat,FALSE,"""-O1""",69618
cat,FALSE,"""-O2""",13231
cat,FALSE,"""-O2""",20779
cat,FALSE,"""-O2""",81055
cat,FALSE,"""-O2""",14717
cat,FALSE,"""-O2""",65247
cat,FALSE,"""-O3""",11329
cat,FALSE,"""-O3""",27906
cat,FALSE,"""-O3""",11930
cat,FALSE,"""-O3""",11386
cat,FALSE,"""-O3""",22886
cat,FALSE,"""-Os""",24622
cat,FALSE,"""-Os""",24083
cat,FALSE,"""-Os""",23512
cat,FALSE,"""-Os""",45275
cat,FALSE,"""-Os""",37511
cat,TRUE,"""-O""",45559
cat,TRUE,"""-O""",45934
cat,TRUE,"""-O""",43466
cat,TRUE,"""-O""",38806
cat,TRUE,"""-O""",42555
cat,TRUE,"""-O1""",12354
cat,TRUE,"""-O1""",11520
cat,TRUE,"""-O1""",10930
cat,TRUE,"""-O1""",11341
cat,TRUE,"""-O1""",12287
cat,TRUE,"""-O2""",10134
cat,TRUE,"""-O2""",11525
cat,TRUE,"""-O2""",16837
cat,TRUE,"""-O2""",10878
cat,TRUE,"""-O2""",13385
cat,TRUE,"""-O3""",14501
cat,TRUE,"""-O3""",74842
cat,TRUE,"""-O3""",11122
cat,TRUE,"""-O3""",10336
cat,TRUE,"""-O3""",10216
cat,TRUE,"""-Os""",17732
cat,TRUE,"""-Os""",19616
cat,TRUE,"""-Os""",24979
cat,TRUE,"""-Os""",50872
cat,TRUE,"""-Os""",24786
galaxy,FALSE,"""-O""",547459
galaxy,FALSE,"""-O""",495109
galaxy,FALSE,"""-O""",481947
galaxy,FALSE,"""-O""",476188
galaxy,FALSE,"""-O""",482047
galaxy,FALSE,"""-O1""",126493
galaxy,FALSE,"""-O1""",126022
galaxy,FALSE,"""-O1""",126247
galaxy,FALSE,"""-O1""",126945
galaxy,FALSE,"""-O1""",148750
galaxy,FALSE,"""-O2""",126982
galaxy,FALSE,"""-O2""",125488
galaxy,FALSE,"""-O2""",125732
galaxy,FALSE,"""-O2""",124045
galaxy,FALSE,"""-O2""",127290
galaxy,FALSE,"""-O3""",105295
galaxy,FALSE,"""-O3""",196714
galaxy,FALSE,"""-O3""",105803
galaxy,FALSE,"""-O3""",101978
galaxy,FALSE,"""-O3""",142349
galaxy,FALSE,"""-Os""",232541
galaxy,FALSE,"""-Os""",277804
galaxy,FALSE,"""-Os""",346481
galaxy,FALSE,"""-Os""",305621
galaxy,FALSE,"""-Os""",245456
galaxy,TRUE,"""-O""",379526
galaxy,TRUE,"""-O""",375788
galaxy,TRUE,"""-O""",382203
galaxy,TRUE,"""-O""",397275
galaxy,TRUE,"""-O""",380036
galaxy,TRUE,"""-O1""",99198
galaxy,TRUE,"""-O1""",113556
galaxy,TRUE,"""-O1""",96669
galaxy,TRUE,"""-O1""",95992
galaxy,TRUE,"""-O1""",94823
galaxy,TRUE,"""-O2""",98338
galaxy,TRUE,"""-O2""",87503
galaxy,TRUE,"""-O2""",95201
galaxy,TRUE,"""-O2""",99899
galaxy,TRUE,"""-O2""",98180
galaxy,TRUE,"""-O3""",77158
galaxy,TRUE,"""-O3""",78613
galaxy,TRUE,"""-O3""",82865
galaxy,TRUE,"""-O3""",84345
galaxy,TRUE,"""-O3""",74769
galaxy,TRUE,"""-Os""",146858
galaxy,TRUE,"""-Os""",153845
galaxy,TRUE,"""-Os""",161477
galaxy,TRUE,"""-Os""",157180
galaxy,TRUE,"""-Os""",154158
